Data Dir,File name,Layer,Current injection (pA),AHP AUC (ms * mV),AHP min (mV),Cell#,Episode#
Total_5_Homeira,13d02004f,5,50,-416.1908372,-59.49009204,1,10
Total_5_Homeira,13d02004f,5,100,-1297.793072,-61.29033842,1,11
Total_5_Homeira,13d02004f,5,150,-3220.101289,-62.0457211,1,12
Total_5_Homeira,13d02004f,5,200,-1501.194997,-62.27300439,1,13
Total_5_Homeira,13d02004f,5,250,-3332.355951,-63.04640698,1,14
Total_5_Homeira,13d02004f,5,300,-2251.112528,-63.41029275,1,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total_5_Homeira,13d02049f,5,50,-404.2205252,-62.35351266,2,10
Total_5_Homeira,13d02049f,5,100,-792.4977739,-63.57218123,2,11
Total_5_Homeira,13d02049f,5,150,-1035.617002,-64.73446493,2,12
Total_5_Homeira,13d02049f,5,200,-1693.63468,-64.79346558,2,13
,,,,,,,
Total_5_Homeira,13d02049f,5,300,-2095.123854,-66.34899006,2,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total_5_Homeira,13d03005f,5,150,-187.8261797,-62.64066853,3,12
,,,,,,,
Total_5_Homeira,13d03005f,5,250,-24.0193245,-63.71953752,3,14
Total_5_Homeira,13d03005f,5,300,-114.5326194,-64.60047824,3,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total_5_Homeira,13d03008f,5,50,-565.5177664,-61.21651495,4,10
Total_5_Homeira,13d03008f,5,100,-1138.781737,-64.15753741,4,11
Total_5_Homeira,13d03008f,5,150,-1457.835945,-64.26391296,4,12
Total_5_Homeira,13d03008f,5,200,-2187.515901,-65.39887617,4,13
Total_5_Homeira,13d03008f,5,250,-2344.577011,-65.47415286,4,14
Total_5_Homeira,13d03008f,5,300,-3044.871257,-66.25162446,4,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total_5_Homeira,13d03012f,5,150,-187.8261797,-62.64066853,5,12
,,,,,,,
Total_5_Homeira,13d03012f,5,250,-24.0193245,-63.71953752,5,14
Total_5_Homeira,13d03012f,5,300,-114.5326194,-64.60047824,5,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total_5_Homeira,13d03044f,5,50,-565.5177664,-61.21651495,6,10
Total_5_Homeira,13d03044f,5,100,-1138.781737,-64.15753741,6,11
Total_5_Homeira,13d03044f,5,150,-1457.835945,-64.26391296,6,12
Total_5_Homeira,13d03044f,5,200,-2187.515901,-65.39887617,6,13
Total_5_Homeira,13d03044f,5,250,-2344.577011,-65.47415286,6,14
Total_5_Homeira,13d03044f,5,300,-3044.871257,-66.25162446,6,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total_5_Homeira,13d03069f,5,50,-1624.634501,-67.7795378,7,10
Total_5_Homeira,13d03069f,5,100,-2606.981094,-71.06904192,7,11
Total_5_Homeira,13d03069f,5,150,-1227.452989,-71.53610616,7,12
,,,,,,,
Total_5_Homeira,13d03069f,5,250,-1568.779141,-72.31939063,7,14
Total_5_Homeira,13d03069f,5,300,-1486.500811,-73.00298435,7,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total_5_Homeira,13d060011f,5,50,-2480.706921,-63.6119994,8,10
Total_5_Homeira,13d060011f,5,100,-802.4235642,-66.67509216,8,11
Total_5_Homeira,13d060011f,5,150,-1937.23623,-66.66317578,8,12
,,,,,,,
Total_5_Homeira,13d060011f,5,250,-1976.763611,-67.68362541,8,14
Total_5_Homeira,13d060011f,5,300,-3298.771219,-68.4390081,8,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total_5_Homeira,13d06009f,5,50,-416.1908372,-59.49009204,9,10
Total_5_Homeira,13d06009f,5,100,-1297.793072,-61.29033842,9,11
Total_5_Homeira,13d06009f,5,150,-3220.101289,-62.0457211,9,12
Total_5_Homeira,13d06009f,5,200,-1501.194997,-62.27300439,9,13
Total_5_Homeira,13d06009f,5,250,-3332.355951,-63.04640698,9,14
Total_5_Homeira,13d06009f,5,300,-2251.112528,-63.41029275,9,15
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Total_5_Homeira,13o21031f,5,50,-1270.22047,-82.71309596,10,10
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
