Dir, ,Offset,Offset,AnChan,Comment,ExportDir,Tags,GroupInc
Total_5_Homeira,13d02004f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,13d02049f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,13d03005f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,13d03008f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,13d03012f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,13d03044f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,13d03069f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,13d060011f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,13d06009f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,13o21031f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0001f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0002f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0042f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0066f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0067f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0081f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0107f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0108f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0122f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0159f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0160f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20131211_600_1_0190f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20140127_600_1_0006f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20140127_600_1_0017f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20140127_600_1_0040f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20140127_600_1_0042f,0,0,2, ,ExportDir,None,yes
Total_5_Homeira,20140127_600_1_0118f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14424000f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14424329f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14424330f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14424335f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14424336f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14512300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14515300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14515302f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14515323f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14515349f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14515372f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14515374f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14515375f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14515424f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14520300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14520301f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14520326f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14520327f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14520332f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14520333f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14520370f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14605300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14605321f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14605325f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14605338f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14605349f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14605374f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14605376f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14617300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14617312f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14624300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14624311f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14624325f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14624337f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14624359f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14624371f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14626300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14626311f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14715300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14715312f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14715334f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14715345f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14911303f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14911315f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14918300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14918302f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14918305f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14918307f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14918344f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14918345f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14918371f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14918372f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n03301f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n03302f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n03328f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n03359f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n03360f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n04300f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n04322f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n04323f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n04346f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n04362f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n10301f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n10302f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n10375f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n10376f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,14n10459f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15224000f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15224053f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15224055f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15224059f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15302001f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15330000f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15330053f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15330054f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15407000f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15420000f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15420001f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15420026f,0,0,2, ,ExportDir,None,yes
TotaL_5_Lihua,15420096f,0,0,2, ,ExportDir,None,yes
Total2lihua,14304300f,0,0,2, ,ExportDir,None,yes
Total2lihua,14304311f,0,0,2, ,ExportDir,None,yes
Total2lihua,14306300f,0,0,2, ,ExportDir,None,yes
Total2lihua,14306313f,0,0,2, ,ExportDir,None,yes
Total2lihua,14306331f,0,0,2, ,ExportDir,None,yes
Total2lihua,14317300f,0,0,2, ,ExportDir,None,yes
Total2lihua,14317306f,0,0,2, ,ExportDir,None,yes
Total2lihua,14317320f,0,0,2, ,ExportDir,None,yes
Total2lihua,14317333f,0,0,2, ,ExportDir,None,yes
Total2lihua,14317348f,0,0,2, ,ExportDir,None,yes
Total2lihua,14318308f,0,0,2, ,ExportDir,None,yes
Total2lihua,14408304f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d02000f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d02016f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d02055f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d02056f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d02065f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d02066f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d02124f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d02139f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16000f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16016f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16017f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16022f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16023f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16056f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16057f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16109f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16110f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16134f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d16135f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d18005f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d18006f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d18033f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d18034f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d18087f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d18088f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d18113f,0,0,2, ,ExportDir,None,yes
Total2lihua,14d18114f,0,0,2, ,ExportDir,None,yes
Total2lihua,15105000f,0,0,2, ,ExportDir,None,yes
Total2lihua,15105001f,0,0,2, ,ExportDir,None,yes
Total2lihua,15105065f,0,0,2, ,ExportDir,None,yes
Total2lihua,15105066f,0,0,2, ,ExportDir,None,yes
Total2lihua,15105080f,0,0,2, ,ExportDir,None,yes
Total2lihua,15105081f,0,0,2, ,ExportDir,None,yes
Total2lihua,15105107f,0,0,2, ,ExportDir,None,yes
Total2lihua,15105108f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127000f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127001f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127028f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127029f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127041f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127042f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127061f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127062f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127092f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127106f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127107f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127132f,0,0,2, ,ExportDir,None,yes
Total2lihua,15127133f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312000f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312001f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312031f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312053f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312054f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312079f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312080f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312105f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312106f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312132f,0,0,2, ,ExportDir,None,yes
Total2lihua,15312133f,0,0,2, ,ExportDir,None,yes
